chr	pos	GM12787_1	GM12787_2	GM12787_3	GM12787_4	GM12787_5	GM12787_6	GM12787_7	GM12787_8	GM12787_9	GM12787_10	GM12787_11	GM12787_12	GM12787_13	GM12787_14	K562_1	K562_2	K562_3	K562_4	K562_5	K562_6	K562_7
1	1521798	10	7	10	12	0	0	3	0	0	0	0	0	0	0	0	16	0	13	5	27	29
1	1521799	10	8	10	13	0	0	0	0	0	0	0	8	4	4	0	17	14	12	5	28	29
1	1522138	7	0	0	0	0	0	0	24	0	0	16	0	0	0	0	0	0	5	0	0	18
1	1522139	7	0	0	12	0	0	0	23	0	0	16	10	0	0	8	20	10	5	5	26	18
1	1522164	5	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	3	20	0
1	1522220	4	0	0	0	0	0	0	14	0	0	0	0	0	0	0	19	8	0	0	0	0
1	1522223	4	0	4	0	0	0	0	15	0	0	11	0	0	0	11	20	7	5	0	0	13
1	1559812	4	3	3	10	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0
1	1561283	4	4	0	6	0	3	0	11	6	13	10	0	0	0	0	0	0	0	0	0	0
1	1561304	4	0	0	6	0	0	0	8	6	0	0	0	0	0	0	13	7	0	0	0	0
1	1573078	8	0	6	11	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0
1	1647479	7	4	12	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1663537	38	30	65	79	0	0	29	202	49	25	64	0	8	0	59	120	0	0	36	106	0
1	1663566	46	34	59	75	6	0	27	168	39	20	69	0	4	5	0	101	62	50	42	88	73
1	1663585	39	0	55	0	0	0	25	150	0	17	0	0	0	0	0	0	0	0	0	0	0
1	1664100	92	48	0	88	0	0	55	249	0	0	66	0	21	14	0	0	0	0	0	0	0
1	1664146	84	48	60	89	0	0	51	246	8	9	62	0	17	9	60	99	68	68	29	136	154
1	1666761	3	3	3	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
1	1726161	4	8	0	0	0	0	0	3	0	0	5	0	5	0	0	0	0	0	0	0	0
1	1729410	18	0	11	0	23	0	0	0	0	0	23	0	0	0	15	0	0	15	0	16	0
1	1729415	16	0	0	0	0	0	0	0	0	0	27	0	0	0	0	16	0	0	0	16	0
1	1729447	17	8	13	22	15	0	0	22	8	0	36	0	0	4	0	0	0	0	0	17	0
1	1729476	16	12	14	0	0	0	0	23	0	0	39	0	0	0	13	10	10	18	7	0	0
1	1729477	16	0	15	0	0	0	0	24	0	0	39	40	0	0	0	11	10	16	7	0	8
1	1729504	15	15	14	14	0	0	0	19	0	0	38	0	0	0	0	0	0	0	0	0	0
1	1729508	14	15	13	0	9	0	0	18	0	0	37	0	0	0	16	9	9	17	10	0	0
1	1729517	12	13	10	14	9	0	0	19	6	0	36	0	0	0	15	10	0	18	8	8	0
1	1729518	12	13	10	14	9	0	0	19	7	0	34	35	0	0	15	10	10	18	7	8	0
1	1729596	13	0	0	0	0	0	0	24	0	0	0	0	5	0	13	15	0	9	11	0	0
1	1729659	17	16	0	0	0	0	0	0	0	0	27	0	0	0	0	0	12	9	0	0	14
1	1729664	17	16	10	0	0	0	0	15	0	0	25	0	0	0	0	0	0	0	0	0	0
1	1729858	22	26	22	34	0	0	0	84	0	0	33	0	14	10	0	0	0	0	0	0	0
1	1729970	16	19	37	29	0	0	0	0	0	0	42	0	16	0	0	0	0	0	0	0	0
1	1730052	28	23	39	41	0	0	16	75	0	0	45	0	11	9	0	0	0	9	7	0	0
1	1730988	18	20	12	21	0	0	0	13	0	0	35	0	4	3	0	0	0	0	0	0	0
1	1731164	19	20	6	6	0	0	0	11	0	0	39	0	0	0	0	0	0	17	7	9	11
1	1731170	22	19	6	6	0	0	0	8	0	0	39	0	0	0	8	0	0	17	7	10	11
1	1731187	16	22	4	4	0	6	0	6	0	0	37	0	8	0	11	5	0	17	8	5	15
1	1731254	10	13	7	13	0	0	4	21	0	0	23	0	0	0	15	14	5	7	7	16	13
1	1731289	12	8	12	0	0	0	0	0	0	0	28	0	5	0	15	0	0	0	0	0	0
1	1731293	11	6	12	16	0	0	0	24	0	0	28	0	0	0	15	23	7	0	7	21	16
1	1731324	14	8	10	16	0	0	0	37	0	0	32	0	7	7	13	19	0	7	0	18	14
1	1731374	14	11	8	11	0	5	7	30	0	0	14	0	5	3	0	0	0	0	0	0	0
1	1732165	19	23	10	16	11	8	10	44	0	0	25	0	0	0	0	0	0	0	0	0	0
1	1732189	18	24	0	16	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	15
1	1733355	9	0	3	0	5	0	0	11	0	7	0	0	0	0	0	0	0	0	0	0	0
1	1733472	10	8	0	0	0	0	0	12	0	0	29	0	0	0	13	0	0	0	0	0	0
1	1733474	9	0	0	0	0	0	0	12	0	0	29	0	0	0	12	0	0	0	0	0	0
1	1733475	9	0	0	0	6	0	0	12	0	0	28	15	0	0	13	0	0	0	0	0	0
1	1733589	14	10	6	19	4	0	0	13	0	5	27	0	0	0	11	0	0	0	0	0	5
1	1733659	12	0	0	0	0	0	0	7	0	5	16	0	0	0	0	0	0	0	5	0	3
1	1733729	11	10	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	5	0	0
1	1733740	9	10	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	0
1	1734307	6	6	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	0	0	0
1	1734352	7	6	0	0	0	0	0	0	0	15	14	0	0	0	6	8	0	0	0	0	0
1	1734353	7	6	0	0	0	0	0	3	0	16	14	21	0	0	0	8	0	0	0	0	0
1	1734418	9	6	12	12	0	0	0	15	0	14	18	0	0	0	11	17	11	8	5	13	0
1	1735931	29	37	43	52	20	29	5	41	10	10	28	0	17	8	0	0	0	0	0	0	0
1	1742079	8	8	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0
1	1756752	5	6	7	0	0	0	0	22	0	0	16	0	5	0	0	0	0	0	0	0	0
1	1760881	5	0	6	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0
1	1762663	5	4	0	9	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0
1	1792666	9	6	0	0	0	0	0	0	0	0	0	0	7	0	0	0	8	0	0	0	0
1	1805207	7	4	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1814716	6	0	6	8	4	5	0	0	0	0	0	0	27	12	0	0	0	0	0	0	0
1	1820190	11	8	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	7	0	0
1	1820246	4	0	0	3	0	0	0	3	0	0	0	0	22	11	0	0	0	0	0	0	0
1	1821916	11	13	18	27	0	0	0	0	0	0	6	0	26	16	0	0	0	9	0	0	15
1	1821924	10	13	21	29	3	0	0	5	0	0	5	0	25	0	0	0	0	0	0	0	0
1	1831258	12	6	7	11	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0
1	1846778	5	0	7	15	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	5
1	1847596	4	6	11	12	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
1	1849438	8	5	11	16	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0	0
1	1865072	8	8	27	25	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	6
1	1868765	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	0
1	1871370	7	0	22	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	26	21
1	1871418	4	0	20	20	0	0	0	0	0	0	0	0	10	4	0	12	5	0	0	21	14
1	1874866	9	8	12	19	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	0
1	1877583	7	0	9	0	0	0	0	0	0	0	0	0	3	0	0	10	0	0	0	0	14
1	1882197	7	10	0	0	0	0	0	0	0	0	3	0	20	0	0	0	0	0	0	9	0
1	1883055	11	11	34	24	0	0	0	0	0	0	0	0	29	22	0	0	0	0	0	0	0
1	1887793	11	0	0	0	0	0	0	0	0	0	0	10	0	0	0	9	6	7	4	0	4
1	2366814	6	8	6	0	6	0	0	5	0	0	12	0	0	0	0	0	0	0	0	0	6
1	2366815	7	8	0	7	6	4	0	6	0	0	12	11	0	0	0	0	0	0	0	0	0
1	2368187	12	7	4	11	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0
1	2368211	12	8	3	10	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0
1	2369106	4	8	5	5	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0
1	2369146	3	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4
1	2371132	6	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0
1	2371145	5	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0
1	2371200	3	4	5	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0
1	2371844	3	0	6	0	0	0	0	10	0	0	0	0	0	0	0	0	6	0	0	0	0
1	2371845	3	3	6	9	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0
1	2398562	7	5	4	4	0	0	4	10	0	0	5	0	0	0	0	0	0	0	0	0	0
1	2407675	5	5	0	5	0	0	0	3	0	0	4	0	7	0	0	0	0	0	0	0	0
1	2411754	3	3	3	0	5	0	0	3	0	3	0	0	0	4	0	0	0	0	0	0	0
1	2583089	7	4	6	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0
1	3658849	6	11	0	27	29	14	0	6	11	27	7	0	0	0	0	0	0	0	0	0	0
1	3737625	17	18	25	17	49	0	0	50	46	74	27	0	5	0	0	0	0	0	0	0	0
1	3784926	17	16	0	0	0	0	0	19	0	0	11	0	0	3	0	0	0	0	0	0	0
1	3813835	5	3	0	5	0	0	0	25	0	0	9	0	0	0	4	12	7	0	0	14	11
1	3848046	3	3	3	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0
1	3867055	3	3	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6018774	7	3	0	8	0	43	0	0	26	27	0	0	4	0	0	0	0	0	0	0	0
1	6192245	12	11	23	22	0	0	0	0	0	0	0	0	6	0	5	57	41	0	11	69	62
1	6192576	11	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	27	37
1	6192586	9	20	10	11	0	0	0	0	0	0	5	0	3	0	0	18	0	14	7	21	30
1	6217034	3	6	0	0	8	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0
1	6217041	3	6	0	0	8	0	0	8	0	0	4	0	8	5	0	0	0	0	0	0	0
1	6217102	3	0	0	0	5	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0
1	6217103	3	0	0	0	5	0	0	12	0	3	5	0	6	4	0	0	0	0	0	9	0
1	6219555	15	19	11	15	0	0	25	82	0	0	54	0	0	0	0	0	0	0	0	0	0
1	6219908	22	0	0	20	0	52	0	0	22	33	49	0	0	6	29	0	10	0	0	0	0
1	6222163	63	53	0	6	22	16	0	10	22	24	58	0	8	7	0	0	0	0	0	0	0
1	6222175	49	36	0	0	17	9	0	0	22	23	55	0	10	0	0	0	0	0	0	0	0
1	6222263	50	50	0	6	0	0	0	6	15	9	46	0	4	0	28	0	0	57	34	0	0
1	6222322	59	58	0	0	0	0	0	13	0	22	57	0	12	0	27	0	0	0	0	0	0
1	6222339	74	63	9	5	0	4	0	20	8	22	57	0	10	0	0	0	0	0	0	0	0
1	6222340	72	63	9	5	0	0	0	20	0	0	57	70	10	0	0	0	0	63	0	0	0
1	6223199	58	60	0	48	0	0	0	0	0	0	87	0	13	0	0	0	0	0	0	0	0
1	6223203	58	0	0	37	0	0	0	58	0	0	0	0	0	3	0	0	0	0	0	0	0
1	6223244	71	72	0	9	0	0	0	31	0	0	95	0	6	0	0	0	0	0	0	8	0
1	6223245	72	72	5	8	0	0	0	28	0	0	95	92	6	0	0	0	0	0	0	0	9
1	6223287	57	55	0	0	0	0	0	11	0	0	73	0	9	0	0	0	0	96	77	0	0
1	6223304	46	43	0	0	0	0	0	7	0	4	67	0	5	0	28	0	0	85	56	0	0
1	6223378	44	51	0	0	0	0	0	0	7	5	61	0	10	0	0	0	0	0	62	0	0
1	6223379	44	53	0	3	3	0	0	0	7	0	61	76	10	0	0	0	0	0	0	0	0
1	6522088	77	53	49	0	0	0	0	0	0	99	0	0	0	0	55	0	0	0	0	0	0
1	6522100	76	0	48	69	0	98	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0
1	6522160	79	64	31	36	0	66	0	0	77	78	59	0	9	0	0	0	0	115	81	83	0
1	6522497	135	107	51	60	0	0	0	0	0	0	45	0	8	0	0	142	95	0	0	0	0
1	6522640	107	83	0	0	31	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
1	6522975	60	60	15	37	22	17	6	0	0	26	32	0	6	10	0	164	0	75	36	0	0
1	6523005	41	0	38	47	25	0	0	0	69	35	0	0	8	6	0	237	0	0	0	88	101
1	6523396	51	0	41	66	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0
1	6523495	24	23	35	0	0	24	0	57	0	22	29	0	6	0	0	0	76	0	0	103	0
1	6523532	22	17	25	0	0	0	0	0	0	0	0	0	0	0	12	0	0	30	0	0	0
1	6524773	19	0	0	0	0	0	0	0	0	5	31	0	0	0	0	0	0	0	48	0	0
1	6524831	23	24	0	0	0	0	0	0	0	0	29	0	0	0	41	0	0	86	52	0	0
1	6524863	22	21	0	0	0	0	0	0	0	17	0	0	0	0	49	0	0	0	0	0	0
1	6524877	24	21	0	0	0	0	0	0	4	0	35	0	0	0	48	0	0	63	47	0	0
1	6524879	25	21	0	0	0	0	0	0	4	0	35	0	0	0	0	0	0	0	0	0	0
1	6524933	36	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	48	0	0
1	6524939	36	24	0	0	0	0	0	0	0	0	39	0	0	0	44	0	0	89	44	0	0
1	6524960	33	21	0	0	0	0	0	3	0	23	30	0	0	0	0	0	0	0	0	0	0
1	6524984	41	23	0	0	0	0	0	0	0	0	35	0	0	0	43	0	0	93	0	0	5
1	6525010	41	32	0	0	0	0	0	0	5	19	52	0	0	0	53	0	0	101	56	0	0
1	6525011	41	32	3	0	0	0	0	0	0	19	52	60	0	0	53	0	0	101	55	0	0
1	6530052	4	4	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6531876	3	0	7	9	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
1	6544030	4	0	0	0	0	0	0	0	0	0	0	0	20	13	0	12	0	0	0	0	7
1	6547138	8	7	25	29	0	0	0	4	0	0	5	0	5	6	0	0	0	0	0	0	0
1	6547682	13	4	12	18	0	0	0	5	4	0	13	0	17	5	6	29	22	0	9	37	24
1	6547688	11	0	0	17	0	0	0	4	0	0	14	0	16	0	0	0	0	0	0	0	0
1	6547705	10	0	10	17	0	0	0	0	0	0	15	0	10	5	0	0	0	0	0	0	0
1	6548374	5	5	0	0	3	3	0	0	0	0	14	0	9	6	0	0	0	0	0	0	0
1	6549144	15	16	9	9	0	0	0	0	0	0	8	0	11	11	0	0	5	20	8	19	19
1	6647033	4	0	0	0	0	0	9	54	0	0	18	0	5	0	0	25	0	0	0	0	0
1	6648292	11	14	0	3	0	0	0	0	3	10	20	0	0	0	6	7	0	12	13	0	0
1	6648607	6	0	0	24	0	0	0	23	0	0	22	0	0	0	0	34	0	0	0	42	0
1	6648619	6	0	0	0	3	0	0	26	0	0	20	0	0	0	0	0	0	0	0	43	35
1	6648664	8	9	12	26	0	0	4	32	0	9	21	0	5	5	0	0	0	0	0	0	0
1	6648714	7	5	14	19	0	0	0	34	6	7	23	0	0	8	12	32	25	10	7	55	35
1	6649067	10	5	5	25	3	0	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6649427	7	5	0	10	5	5	3	16	3	0	8	0	4	0	3	9	0	14	5	18	18
1	6649845	3	0	0	8	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	11	0
1	6650143	8	5	6	13	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	19	0
1	6650321	17	0	0	0	0	0	6	42	0	0	20	0	15	0	0	42	0	0	0	29	39
1	6650449	17	10	13	13	0	0	5	31	0	0	19	0	9	0	0	0	0	0	0	0	0
1	6650482	27	17	15	0	0	0	0	0	0	0	0	0	18	6	0	39	0	0	0	0	0
1	6650513	27	20	18	0	0	0	0	48	0	0	30	0	25	12	12	0	0	22	0	61	0
1	6650524	28	20	18	18	0	0	3	47	0	0	31	0	24	12	13	38	36	22	12	62	34
1	6650534	26	20	19	0	0	0	0	44	0	0	32	0	20	0	14	0	0	23	0	62	34
1	6650690	26	12	0	0	0	0	0	0	0	0	27	0	0	0	0	0	6	14	11	0	0
1	6685383	3	3	0	7	6	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
1	6888143	8	6	9	14	131	118	5	16	163	192	11	0	9	10	0	0	0	0	0	0	0
1	6890690	5	3	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
1	7917800	5	10	10	0	13	0	0	0	46	34	0	0	12	7	0	0	0	0	0	0	0
1	7917827	4	9	9	19	10	0	0	29	47	31	0	0	10	7	0	0	0	0	0	0	0
1	7918211	11	10	26	30	0	0	0	30	25	12	14	0	17	13	0	0	0	0	0	0	0
1	7918212	11	0	25	31	0	0	0	30	0	0	14	14	18	13	0	0	0	0	0	0	0
1	7918217	10	11	0	33	0	0	0	30	0	13	0	0	19	13	0	0	0	0	0	0	0
1	7918271	12	17	21	17	0	0	0	19	23	12	14	0	20	8	0	0	0	0	0	0	0
1	7918432	7	0	16	26	7	9	0	0	0	0	0	0	21	8	0	0	0	0	0	0	0
1	7918533	6	0	13	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
1	7918534	7	8	0	10	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
1	7918536	7	0	0	10	0	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0
1	7918639	6	11	0	11	0	6	0	18	10	0	15	0	16	0	0	0	0	0	0	0	0
1	7918647	7	12	6	10	0	0	0	0	0	0	15	0	16	0	0	0	0	0	0	0	0
1	7920477	11	0	34	0	81	130	0	27	132	98	14	0	16	5	0	0	0	0	0	0	0
1	7920524	15	0	0	15	0	0	0	0	0	121	0	0	24	21	0	0	0	0	0	0	0
1	7968608	6	0	0	0	0	0	0	0	0	0	4	0	7	0	0	11	0	0	0	10	0
1	8414472	4	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	6	0	0	8	0
1	8416367	10	11	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
1	8548046	6	9	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0
1	8580832	4	3	21	14	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0
1	8580861	6	0	20	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	7	0
1	8596764	3	0	13	13	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
1	8607275	7	4	0	9	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
1	8609110	4	6	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
1	8610416	3	4	4	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0
1	8647040	11	5	0	3	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0	0
1	8685531	3	3	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
1	8772577	6	0	5	8	0	0	0	0	0	0	0	0	3	3	0	0	14	0	0	5	9
1	8772884	6	0	0	4	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0
1	8779546	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5
1	8798001	5	0	24	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	11
1	8800771	4	4	0	0	0	0	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0
1	8861898	10	32	29	21	12	9	0	40	0	5	0	0	5	3	0	0	0	0	0	0	0
1	8866692	8	15	19	22	3	0	0	7	4	0	0	0	57	51	0	0	0	0	0	0	0
1	9009663	10	8	15	13	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
1	9100517	11	15	0	17	25	31	0	0	35	78	12	0	0	3	0	0	0	0	0	0	0
1	9100840	19	19	9	0	13	17	0	32	43	0	0	0	8	0	0	0	0	0	0	0	0
1	9100915	16	0	13	18	0	0	0	38	44	0	0	0	0	0	0	0	0	0	0	0	0
1	9100922	14	0	12	18	0	0	0	31	0	0	5	0	0	0	0	0	0	0	0	0	0
1	9100951	10	0	12	19	12	8	0	30	45	33	6	0	0	0	0	0	0	0	0	0	0
1	9101143	3	0	0	5	0	0	0	0	14	16	0	0	0	0	0	0	0	0	0	0	0
1	9101297	10	7	0	0	19	0	0	0	18	31	0	0	3	0	0	0	0	0	0	0	0
1	9102334	13	9	0	0	0	0	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0
1	9103327	14	19	0	0	0	0	0	11	0	4	10	0	0	3	0	0	0	0	0	0	0
1	9103342	14	21	0	0	0	0	0	11	0	5	10	0	0	0	0	0	0	0	0	0	0
1	9149135	17	16	41	32	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
1	9149375	12	8	12	19	14	0	0	44	0	21	50	0	0	0	0	0	0	0	0	0	0
1	9149389	12	6	10	19	12	10	8	39	8	21	49	0	0	0	0	0	0	0	0	0	0
1	9149397	12	7	9	13	0	0	0	34	8	0	43	0	0	0	0	0	0	0	0	0	0
1	9149403	13	0	0	15	0	12	0	34	0	18	38	0	0	0	0	0	0	0	0	0	0
1	9149413	13	11	21	20	13	10	10	45	11	18	43	0	0	0	0	0	0	0	0	0	0
1	9152212	8	8	9	13	0	0	0	0	0	0	9	0	30	19	0	0	0	0	0	0	0
1	9154861	8	0	9	10	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
1	9158934	7	5	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0
1	9161982	9	6	14	19	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
1	9167089	7	9	7	7	0	0	0	0	0	0	0	0	35	20	0	0	0	0	0	0	0
1	9168148	13	0	0	16	0	0	0	0	0	0	4	0	25	0	0	0	0	0	0	0	0
1	9168181	13	0	0	12	0	0	0	0	0	0	3	0	21	18	0	0	0	0	0	0	0
1	9171564	13	7	0	0	0	0	0	0	0	0	6	0	118	93	0	0	0	0	0	0	0
1	9172025	5	7	14	0	0	0	0	0	0	0	0	0	25	23	0	0	0	0	0	0	0
1	9172813	8	6	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	0	0	0
1	9172833	10	8	3	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
1	9173612	3	5	7	0	0	0	0	0	0	0	3	0	7	10	0	0	0	0	0	0	0
1	9177276	5	5	15	30	0	0	0	0	0	0	4	0	16	50	0	0	0	0	0	0	0
1	9179384	7	7	7	4	0	0	0	0	0	0	0	0	27	13	0	0	0	0	0	0	0
1	9236176	5	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	4	0
1	9236560	4	3	0	0	6	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0
1	9240548	3	0	0	10	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0
1	9240617	4	5	8	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
1	9266897	30	27	61	57	11	0	29	0	0	0	33	0	8	0	0	0	0	0	0	8	0
1	9268035	6	10	13	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	9268060	7	9	13	0	13	13	0	80	20	144	0	0	0	0	0	0	0	0	0	0	0
1	9268182	10	9	33	33	12	11	19	113	13	73	20	0	0	0	0	0	0	0	0	0	0
1	9268183	10	9	33	33	12	0	19	113	13	73	20	0	0	0	0	0	0	0	0	0	0
1	9271034	13	0	0	38	0	0	0	77	0	0	22	0	7	0	0	0	0	0	0	12	0
1	9271041	12	14	33	37	57	30	10	77	60	104	22	0	7	0	0	0	0	0	0	0	0
1	9557000	7	9	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
1	9571878	5	4	5	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
1	9574180	4	5	0	9	0	0	0	17	0	0	0	0	9	3	0	24	6	0	0	13	13
1	9574250	6	0	6	13	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
1	9583010	10	8	0	24	0	0	0	0	0	31	13	0	0	0	0	0	0	0	0	0	0
1	9583095	9	7	10	19	0	7	0	14	3	30	9	0	0	0	0	19	0	18	11	25	43
